::1 - - [10/Aug/2026 20:50:15] "HEAD /index.html HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET / HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /images/IMG-20250220-WA0033.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /styles.css HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /images/logo.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /images/IMG-20250220-WA0040.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /images/IMG-20250220-WA0037.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:27] "GET /images/IMG-20250220-WA0039.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/modern%20luxury%20home%20sunset.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/old-white-house-garden.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/modern%20house.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0009.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /gallery-data.json HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0013.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0026.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0034.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0043.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0006.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0023.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0029.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0030.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0032.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0031.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0035.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:28] "GET /images/IMG-20250220-WA0036.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:36] "GET /images/IMG-20250220-WA0038.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0041.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0042.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0044.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0046.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0045.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0047.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:37] "GET /images/IMG-20250220-WA0048.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:50:38] "GET /images/IMG-20250220-WA0049.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET / HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /styles.css HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /images/logo.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /images/IMG-20250220-WA0033.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /images/IMG-20250220-WA0040.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /images/IMG-20250220-WA0039.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:09] "GET /images/IMG-20250220-WA0037.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /gallery-data.json HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /images/modern%20house.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /images/old-white-house-garden.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /images/modern%20luxury%20home%20sunset.png HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /images/IMG-20250220-WA0013.jpg HTTP/1.1" 200 -
::1 - - [10/Aug/2026 20:57:10] "GET /images/IMG-20250220-WA0009.jpg HTTP/1.1" 200 -
